Study,Site Number,Site Name,SubjectName,Open Date,Open By,Query Text,Group Name,Response Date,Responded By,Answer Text,Query Closed Date,Closed By,Query Status
ABC TEST TRIAL,124,Site 124,1241124,16-Jun-23,ZAY,1,CDM,16-Jun-23,QJW,Updated,16-Jun-23,USB,Closed
ABC TEST TRIAL,195,Site 195,1951195,16-Jun-23,DIA,1,CDM,16-Jun-23,WOQ,Updated,16-Jun-23,ULW,Closed
ABC TEST TRIAL,132,Site 132,1321132,16-Jun-23,UKR,1,CDM,16-Jun-23,HIB,Updated,16-Jun-23,KNV,Closed
ABC TEST TRIAL,124,Site 124,1241124,16-Jun-23,GOM,1,CDM,26-Jun-23,ZAI,Updated,27-Jun-23,OFV,Closed
ABC TEST TRIAL,241,Site 241,2411241,16-Jun-23,VWN,1,CDM,26-Jun-23,CAW,Updated,27-Jun-23,IUH,Closed
ABC TEST TRIAL,322,Site 322,3221322,19-Dec-23,TZL,1,CDM,29-Dec-23,NWI,Updated,5-Jan-24,VWA,Closed
ABC TEST TRIAL,132,Site 132,1321132,1-Aug-23,COI,1,CDM,2-Aug-23,KFB,Updated,2-Aug-23,GAA,Closed
ABC TEST TRIAL,452,Site 452,4521452,1-Aug-23,PWM,1,CDM,2-Aug-23,FUA,Updated,2-Aug-23,DCD,Closed
ABC TEST TRIAL,231,Site 231,2311231,5-Sep-23,JRO,1,CDM,7-Sep-23,OHQ,Updated,8-Sep-23,VXY,Closed
ABC TEST TRIAL,496,Site 496,4961496,11-Aug-23,OZQ,1,CDM,17-Aug-23,JGC,Updated,17-Aug-23,QAA,Closed
ABC TEST TRIAL,492,Site 492,4921492,11-Aug-23,JOP,1,CDM,16-Aug-23,MUD,Updated,17-Aug-23,QYB,Closed
ABC TEST TRIAL,306,Site 306,3061306,11-Aug-23,MHI,1,CDM,16-Aug-23,HLF,Updated,17-Aug-23,TCL,Closed
ABC TEST TRIAL,344,Site 344,3441344,11-Aug-23,NWH,1,CDM,14-Aug-23,CDY,Updated,14-Aug-23,MIU,Closed
ABC TEST TRIAL,132,Site 132,1321132,11-Aug-23,OKL,1,CDM,14-Aug-23,SNO,Updated,14-Aug-23,LPA,Closed
ABC TEST TRIAL,178,Site 178,1781178,11-Aug-23,LAF,1,CDM,15-Aug-23,EHS,Updated,17-Aug-23,DMJ,Closed
ABC TEST TRIAL,469,Site 469,4691469,11-Aug-23,UMS,1,CDM,21-Aug-23,NKX,Updated,22-Aug-23,SJU,Closed
ABC TEST TRIAL,168,Site 168,1681168,11-Aug-23,GFI,1,CDM,17-Aug-23,GCW,Updated,17-Aug-23,EQE,Closed
ABC TEST TRIAL,479,Site 479,4791479,11-Aug-23,QJU,1,CDM,17-Aug-23,XIN,Updated,17-Aug-23,PKC,Closed
ABC TEST TRIAL,293,Site 293,2931293,11-Aug-23,FJB,1,CDM,14-Aug-23,CYJ,Updated,14-Aug-23,UZV,Closed
ABC TEST TRIAL,294,Site 294,2941294,11-Aug-23,XSE,1,CDM,21-Aug-23,DUQ,Updated,22-Aug-23,IRO,Closed
ABC TEST TRIAL,357,Site 357,3571357,11-Aug-23,IPD,1,CDM,21-Aug-23,FSD,Updated,22-Aug-23,KRE,Closed
ABC TEST TRIAL,294,Site 294,2941294,11-Aug-23,MKN,1,CDM,15-Aug-23,KWP,Updated,17-Aug-23,EPK,Closed
ABC TEST TRIAL,429,Site 429,4291429,11-Aug-23,GSF,1,CDM,21-Aug-23,FQJ,Updated,22-Aug-23,RQI,Closed
ABC TEST TRIAL,323,Site 323,3231323,11-Aug-23,CKN,1,CDM,21-Aug-23,VGV,Updated,22-Aug-23,CRZ,Closed
ABC TEST TRIAL,298,Site 298,2981298,11-Aug-23,NLJ,1,CDM,15-Aug-23,XKT,Updated,17-Aug-23,LCM,Closed
ABC TEST TRIAL,301,Site 301,3011301,11-Aug-23,YVC,1,CDM,16-Aug-23,HFZ,Updated,17-Aug-23,TDZ,Closed
ABC TEST TRIAL,267,Site 267,2671267,11-Aug-23,DGM,1,CDM,16-Aug-23,AXI,Updated,17-Aug-23,KGT,Closed
ABC TEST TRIAL,132,Site 132,1321132,11-Aug-23,DTT,1,CDM,16-Aug-23,GXF,Updated,17-Aug-23,NFH,Closed
ABC TEST TRIAL,374,Site 374,3741374,11-Jan-23,EMW,1,CDM,14-Jan-23,GAI,Updated,16-Jan-23,MLS,Closed
ABC TEST TRIAL,124,Site 124,1241124,11-Jan-23,BQV,1,CDM,13-Jan-23,QCW,Updated,14-Jan-23,SGA,Closed
ABC TEST TRIAL,404,Site 404,4041404,11-Aug-23,DKV,1,CDM,18-Aug-23,DQH,Updated,18-Aug-23,PPR,Closed
ABC TEST TRIAL,294,Site 294,2941294,11-Aug-23,JLG,1,CDM,18-Aug-23,RED,Updated,18-Aug-23,MBD,Closed
ABC TEST TRIAL,168,Site 168,1681168,11-Aug-23,IDS,1,CDM,18-Aug-23,QTH,Updated,18-Aug-23,RKK,Closed
ABC TEST TRIAL,391,Site 391,3911391,11-Aug-23,UKM,1,CDM,15-Aug-23,EYE,Updated,17-Aug-23,MUU,Closed
ABC TEST TRIAL,241,Site 241,2411241,11-Aug-23,REF,1,CDM,15-Aug-23,HJO,Updated,17-Aug-23,KOI,Closed
ABC TEST TRIAL,366,Site 366,3661366,11-Aug-23,SIS,1,CDM,11-Aug-23,YFP,Updated,14-Aug-23,LUA,Closed
ABC TEST TRIAL,374,Site 374,3741374,11-Aug-23,ABI,1,CDM,14-Aug-23,SDY,Updated,14-Aug-23,GRA,Closed
ABC TEST TRIAL,404,Site 404,4041404,11-Aug-23,JLB,1,CDM,14-Aug-23,QKL,Updated,14-Aug-23,JAI,Closed
ABC TEST TRIAL,374,Site 374,3741374,17-Jan-23,EHQ,1,CDM,18-Jan-23,WFA,Updated,18-Jan-23,XKF,Closed
ABC TEST TRIAL,460,Site 460,4601460,28-Aug-24,PPT,1,CDM,9-Sep-24,QMA,Updated,11-Sep-24,XRF,Closed
ABC TEST TRIAL,298,Site 298,2981298,30-Oct-23,FBB,1,CDM,30-Oct-23,SVJ,Updated,31-Oct-23,AUE,Closed
ABC TEST TRIAL,469,Site 469,4691469,18-Jan-23,QVM,1,CDM,19-Jan-23,OMW,Updated,19-Jan-23,OJM,Closed
ABC TEST TRIAL,195,Site 195,1951195,22-May-23,OVC,1,CDM,2-Jun-23,OEU,Updated,5-Jun-23,GAV,Closed
ABC TEST TRIAL,306,Site 306,3061306,21-Sep-23,CAW,1,CDM,25-Sep-23,RAH,Updated,25-Sep-23,WWC,Closed
ABC TEST TRIAL,381,Site 381,3811381,28-Aug-24,UWE,1,CDM,30-Aug-24,BGC,Updated,30-Aug-24,PRA,Closed
ABC TEST TRIAL,452,Site 452,4521452,22-May-23,USQ,1,CDM,22-May-23,NBA,Updated,22-May-23,JDR,Closed
ABC TEST TRIAL,429,Site 429,4291429,24-Jul-24,UBU,1,CDM,25-Jul-24,JWT,Updated,25-Jul-24,YSV,Closed
ABC TEST TRIAL,168,Site 168,1681168,23-Oct-24,SXI,1,CDM,28-Oct-24,CPM,Updated,30-Oct-24,PFR,Closed
ABC TEST TRIAL,301,Site 301,3011301,23-Oct-24,OBU,1,CDM,24-Oct-24,VAX,Updated,30-Oct-24,CJS,Closed
ABC TEST TRIAL,347,Site 347,3471347,23-Oct-24,FAD,1,CDM,,,,,,Open
ABC TEST TRIAL,267,Site 267,2671267,28-Aug-24,CVQ,1,CDM,3-Sep-24,RQK,Updated,4-Sep-24,WTX,Closed
ABC TEST TRIAL,404,Site 404,4041404,28-Aug-24,GIG,1,CDM,3-Sep-24,ELV,Updated,4-Sep-24,UCF,Closed
ABC TEST TRIAL,388,Site 388,3881388,13-Jul-23,DHY,1,CDM,28-Jul-23,MBX,Updated,28-Jul-23,TSZ,Closed
ABC TEST TRIAL,231,Site 231,2311231,13-Jul-23,WSD,1,CDM,18-Jul-23,UEB,Updated,21-Jul-23,XMP,Closed
ABC TEST TRIAL,178,Site 178,1781178,22-Aug-23,XER,1,CDM,23-Aug-23,IVV,Updated,24-Aug-23,VYI,Closed
ABC TEST TRIAL,124,Site 124,1241124,6-Sep-23,APY,1,CDM,7-Sep-23,YQZ,Updated,7-Sep-23,QKC,Closed
ABC TEST TRIAL,301,Site 301,3011301,6-Sep-23,KCE,1,CDM,7-Sep-23,KMM,Updated,7-Sep-23,LKI,Closed
ABC TEST TRIAL,366,Site 366,3661366,6-Sep-23,UBJ,1,CDM,7-Sep-23,BYG,Updated,7-Sep-23,FVS,Closed
ABC TEST TRIAL,298,Site 298,2981298,2-Aug-23,XCN,1,CDM,3-Aug-23,UDR,Updated,3-Aug-23,HRP,Closed
ABC TEST TRIAL,237,Site 237,2371237,2-Aug-23,DVG,1,CDM,3-Aug-23,XAQ,Updated,3-Aug-23,SYP,Closed
ABC TEST TRIAL,256,Site 256,2561256,27-Sep-23,ZWX,1,CDM,28-Sep-23,RWC,Updated,28-Sep-23,HLC,Closed
ABC TEST TRIAL,195,Site 195,1951195,24-Jul-24,IMQ,1,CDM,26-Jul-24,LXH,Updated,30-Jul-24,JVV,Closed
ABC TEST TRIAL,168,Site 168,1681168,31-Oct-24,LAZ,1,CDM,,,,,,Open
ABC TEST TRIAL,267,Site 267,2671267,9-Jan-23,GMS,1,CDM,11-Jan-23,GAG,Updated,12-Jan-23,REU,Closed
ABC TEST TRIAL,301,Site 301,3011301,1-Feb-23,ZHT,1,CDM,2-Feb-23,HOY,Updated,2-Feb-23,RGX,Closed
ABC TEST TRIAL,429,Site 429,4291429,26-Jun-23,BAD,1,CDM,10-Jul-23,NDX,Updated,10-Jul-23,FXY,Closed
ABC TEST TRIAL,298,Site 298,2981298,1-Feb-24,FPM,1,CDM,2-Feb-24,POO,Updated,2-Feb-24,MUW,Closed
ABC TEST TRIAL,124,Site 124,1241124,15-Jun-23,JOA,1,CDM,26-Jun-23,ZQY,Updated,27-Jun-23,GFX,Closed
ABC TEST TRIAL,231,Site 231,2311231,15-Jun-23,EUZ,1,CDM,26-Jun-23,FVU,Updated,27-Jun-23,XLB,Closed
ABC TEST TRIAL,298,Site 298,2981298,15-Jun-23,VRI,1,CDM,26-Jun-23,YPD,Updated,27-Jun-23,NSU,Closed
ABC TEST TRIAL,404,Site 404,4041404,13-Jul-23,NZN,1,CDM,2-Aug-23,GGV,Updated,2-Aug-23,AVH,Closed
ABC TEST TRIAL,404,Site 404,4041404,13-Jul-23,FBF,1,CDM,2-Aug-23,RJC,Updated,2-Aug-23,BRH,Closed
ABC TEST TRIAL,156,Site 156,1561156,13-Jul-23,TEH,1,CDM,2-Aug-23,LGH,Updated,2-Aug-23,RNL,Closed
ABC TEST TRIAL,381,Site 381,3811381,13-Jul-23,BMX,1,CDM,17-Jul-23,NLV,Updated,17-Jul-23,NIY,Closed
ABC TEST TRIAL,388,Site 388,3881388,13-Jul-23,UGM,1,CDM,14-Jul-23,CJJ,Updated,14-Jul-23,BJG,Closed
ABC TEST TRIAL,298,Site 298,2981298,16-Oct-23,ZDQ,1,CDM,16-Oct-23,HWU,Updated,16-Oct-23,FLG,Closed
ABC TEST TRIAL,168,Site 168,1681168,21-Jun-23,BOE,1,CDM,27-Jun-23,XHQ,Updated,27-Jun-23,DQL,Closed
ABC TEST TRIAL,132,Site 132,1321132,13-Oct-23,OII,1,CDM,20-Oct-23,LJQ,Updated,20-Oct-23,RWH,Closed
ABC TEST TRIAL,178,Site 178,1781178,13-Oct-23,NWQ,1,CDM,16-Oct-23,YCF,Updated,16-Oct-23,CAZ,Closed
ABC TEST TRIAL,492,Site 492,4921492,13-Oct-23,XVB,1,CDM,16-Oct-23,MLR,Updated,16-Oct-23,TPO,Closed
ABC TEST TRIAL,492,Site 492,4921492,13-Oct-23,DOD,1,CDM,18-Oct-23,KTE,Updated,18-Oct-23,NQB,Closed
ABC TEST TRIAL,357,Site 357,3571357,13-Oct-23,ZAI,1,CDM,18-Oct-23,MCN,Updated,18-Oct-23,LHN,Closed
ABC TEST TRIAL,294,Site 294,2941294,9-Jan-23,SCD,1,CDM,11-Jan-23,NIB,Updated,12-Jan-23,BJC,Closed
ABC TEST TRIAL,488,Site 488,4881488,25-Jul-24,OYR,1,CDM,1-Aug-24,XHS,Updated,28-Aug-24,AXZ,Closed
ABC TEST TRIAL,388,Site 388,3881388,25-Apr-23,KBF,1,CDM,6-May-23,HEE,Updated,8-May-23,DJR,Closed
ABC TEST TRIAL,388,Site 388,3881388,17-Mar-23,WMW,1,CDM,24-Mar-23,IDV,Updated,28-Mar-23,BHJ,Closed
ABC TEST TRIAL,294,Site 294,2941294,6-Oct-23,CIS,1,CDM,10-Oct-23,FUE,Updated,10-Oct-23,TUZ,Closed
ABC TEST TRIAL,231,Site 231,2311231,15-May-23,MWL,1,CDM,26-May-23,UCO,Updated,26-May-23,MKJ,Closed
ABC TEST TRIAL,285,Site 285,2851285,22-May-23,OLB,1,CDM,2-Jun-23,TMC,Updated,5-Jun-23,SNT,Closed
ABC TEST TRIAL,488,Site 488,4881488,17-Mar-23,WAG,1,CDM,31-Mar-23,CJR,Updated,4-Apr-23,DZT,Closed
ABC TEST TRIAL,301,Site 301,3011301,2-Aug-23,QKN,1,CDM,9-Aug-23,JEQ,Updated,10-Aug-23,VMX,Closed
ABC TEST TRIAL,298,Site 298,2981298,13-Jul-23,ZKU,1,CDM,18-Jul-23,CAC,Updated,21-Jul-23,NUF,Closed
ABC TEST TRIAL,262,Site 262,2621262,2-Apr-23,GMW,1,CDM,3-Apr-23,JLK,Updated,4-Apr-23,OZW,Closed
ABC TEST TRIAL,347,Site 347,3471347,1-Aug-23,BDA,1,CDM,8-Aug-23,SOI,Updated,8-Aug-23,NLE,Closed
ABC TEST TRIAL,344,Site 344,3441344,31-Aug-23,QBC,1,CDM,5-Sep-23,XIG,Updated,6-Sep-23,UFZ,Closed
ABC TEST TRIAL,492,Site 492,4921492,19-Mar-23,YAU,1,CDM,24-Mar-23,OWQ,Updated,28-Mar-23,VMG,Closed
ABC TEST TRIAL,460,Site 460,4601460,14-Mar-23,NUI,1,CDM,17-Mar-23,HON,Updated,21-Mar-23,XOZ,Closed
ABC TEST TRIAL,158,Site 158,1581158,14-Mar-23,HTU,1,CDM,17-Mar-23,JQW,Updated,21-Mar-23,DPE,Closed
ABC TEST TRIAL,298,Site 298,2981298,19-Aug-22,WWG,1,CDM,23-Aug-22,MYM,Updated,23-Aug-22,UNE,Closed
ABC TEST TRIAL,178,Site 178,1781178,9-Aug-22,XUQ,1,CDM,18-Aug-22,VMX,Updated,19-Aug-22,WGV,Closed
ABC TEST TRIAL,452,Site 452,4521452,27-May-22,JTK,1,CDM,24-Jun-22,NKU,Updated,24-Jun-22,LOH,Closed
ABC TEST TRIAL,306,Site 306,3061306,24-Aug-22,SVC,1,CDM,25-Aug-22,LQO,Updated,25-Aug-22,QEN,Closed
ABC TEST TRIAL,301,Site 301,3011301,26-Aug-22,QJG,1,CDM,29-Aug-22,XWE,Updated,29-Aug-22,MIK,Closed
ABC TEST TRIAL,295,Site 295,2951295,24-Aug-22,WST,1,CDM,25-Aug-22,WBP,Updated,25-Aug-22,BDD,Closed
ABC TEST TRIAL,429,Site 429,4291429,24-Aug-22,YAC,1,CDM,25-Aug-22,AEA,Updated,25-Aug-22,IMI,Closed
ABC TEST TRIAL,334,Site 334,3341334,24-Aug-22,WNQ,1,CDM,25-Aug-22,QJX,Updated,25-Aug-22,WLA,Closed
ABC TEST TRIAL,381,Site 381,3811381,26-Aug-22,PQQ,1,CDM,29-Aug-22,VZE,Updated,29-Aug-22,RVX,Closed
ABC TEST TRIAL,132,Site 132,1321132,26-Aug-22,CZV,1,CDM,31-Aug-22,LFJ,Updated,31-Aug-22,LGW,Closed
ABC TEST TRIAL,285,Site 285,2851285,30-Aug-22,RXP,1,CDM,31-Aug-22,HSB,Updated,31-Aug-22,VPF,Closed
ABC TEST TRIAL,255,Site 255,2551255,30-Aug-22,KRR,1,CDM,31-Aug-22,TIA,Updated,31-Aug-22,RHR,Closed
ABC TEST TRIAL,479,Site 479,4791479,30-Aug-22,QCD,1,CDM,31-Aug-22,WZC,Updated,31-Aug-22,BZB,Closed
ABC TEST TRIAL,124,Site 124,1241124,30-Aug-22,SXD,1,CDM,31-Aug-22,HAP,Updated,31-Aug-22,ILA,Closed
ABC TEST TRIAL,168,Site 168,1681168,30-Aug-22,GPX,1,CDM,31-Aug-22,SQK,Updated,31-Aug-22,CMS,Closed
ABC TEST TRIAL,381,Site 381,3811381,30-Aug-22,UOV,1,CDM,31-Aug-22,FNS,Updated,31-Aug-22,KXB,Closed
ABC TEST TRIAL,107,Site 107,1071107,30-Aug-22,XHB,1,CDM,31-Aug-22,NSO,Updated,31-Aug-22,MNH,Closed
ABC TEST TRIAL,301,Site 301,3011301,30-Aug-22,SLM,1,CDM,31-Aug-22,TAQ,Updated,31-Aug-22,XJH,Closed
ABC TEST TRIAL,231,Site 231,2311231,30-Aug-22,XCW,1,CDM,31-Aug-22,CCY,Updated,31-Aug-22,XDM,Closed
ABC TEST TRIAL,298,Site 298,2981298,30-Aug-22,DLB,1,CDM,31-Aug-22,JSG,Updated,31-Aug-22,QAZ,Closed
ABC TEST TRIAL,429,Site 429,4291429,30-Aug-22,AKQ,1,CDM,31-Aug-22,GTW,Updated,31-Aug-22,YBL,Closed
ABC TEST TRIAL,452,Site 452,4521452,30-Aug-22,WTQ,1,CDM,31-Aug-22,UMD,Updated,31-Aug-22,BFC,Closed
ABC TEST TRIAL,154,Site 154,1541154,30-Aug-22,WMH,1,CDM,31-Aug-22,LVB,Updated,31-Aug-22,GPJ,Closed
ABC TEST TRIAL,156,Site 156,1561156,30-Aug-22,HKL,1,CDM,31-Aug-22,ROW,Updated,31-Aug-22,YSG,Closed
ABC TEST TRIAL,479,Site 479,4791479,30-Aug-22,TYZ,1,CDM,31-Aug-22,CJM,Updated,31-Aug-22,NCU,Closed
ABC TEST TRIAL,255,Site 255,2551255,30-Aug-22,RDD,1,CDM,31-Aug-22,SWX,Updated,31-Aug-22,HBV,Closed
ABC TEST TRIAL,445,Site 445,4451445,24-Aug-22,OQG,1,CDM,25-Aug-22,XPE,Updated,25-Aug-22,JUI,Closed
ABC TEST TRIAL,366,Site 366,3661366,24-Aug-22,TXP,1,CDM,25-Aug-22,OGN,Updated,25-Aug-22,TTE,Closed
ABC TEST TRIAL,366,Site 366,3661366,24-Aug-22,ZFM,1,CDM,25-Aug-22,ASL,Updated,25-Aug-22,ESA,Closed
ABC TEST TRIAL,301,Site 301,3011301,24-Aug-22,ZIC,1,CDM,25-Aug-22,PQS,Updated,25-Aug-22,LBZ,Closed
ABC TEST TRIAL,374,Site 374,3741374,24-Aug-22,OIK,1,CDM,25-Aug-22,ESC,Updated,25-Aug-22,GRA,Closed
ABC TEST TRIAL,298,Site 298,2981298,24-Aug-22,LXV,1,CDM,25-Aug-22,IRT,Updated,25-Aug-22,BCY,Closed
ABC TEST TRIAL,178,Site 178,1781178,24-Aug-22,QVL,1,CDM,25-Aug-22,LJR,Updated,25-Aug-22,SZW,Closed
ABC TEST TRIAL,496,Site 496,4961496,24-Aug-22,LXF,1,CDM,25-Aug-22,YXX,Updated,25-Aug-22,CKV,Closed
ABC TEST TRIAL,492,Site 492,4921492,9-Dec-22,OOS,1,CDM,20-Dec-22,AHQ,Updated,21-Dec-22,HHB,Closed
ABC TEST TRIAL,298,Site 298,2981298,27-Oct-23,UMT,1,CDM,27-Oct-23,HUF,Updated,30-Oct-23,ERP,Closed
ABC TEST TRIAL,388,Site 388,3881388,25-Jan-23,RJY,1,CDM,31-Jan-23,VIP,Updated,31-Jan-23,VYY,Closed
ABC TEST TRIAL,452,Site 452,4521452,25-Jan-23,FMJ,1,CDM,31-Jan-23,IQF,Updated,31-Jan-23,ADX,Closed
ABC TEST TRIAL,334,Site 334,3341334,25-Jan-23,BLY,1,CDM,31-Jan-23,SAI,Updated,31-Jan-23,DID,Closed
ABC TEST TRIAL,496,Site 496,4961496,22-Jun-23,XUM,1,CDM,26-Jun-23,ESV,Updated,27-Jun-23,QDC,Closed
ABC TEST TRIAL,295,Site 295,2951295,22-Sep-23,VSC,1,CDM,25-Sep-23,ILW,Updated,25-Sep-23,ORS,Closed
ABC TEST TRIAL,492,Site 492,4921492,25-Jul-24,XPA,1,CDM,,,,,,Open
ABC TEST TRIAL,496,Site 496,4961496,8-Oct-21,XCZ,1,CDM,18-Oct-21,JZK,Updated,18-Oct-21,BLB,Closed
ABC TEST TRIAL,306,Site 306,3061306,29-Jun-22,JAN,1,CDM,4-Jul-22,VPR,Updated,5-Jul-22,AYD,Closed
ABC TEST TRIAL,334,Site 334,3341334,25-May-22,WMC,1,CDM,31-May-22,WLC,Updated,31-May-22,HON,Closed
ABC TEST TRIAL,156,Site 156,1561156,25-May-22,BZL,1,CDM,8-Jul-22,PUC,Updated,18-Jul-22,KEP,Closed
ABC TEST TRIAL,404,Site 404,4041404,17-Nov-21,GLZ,1,CDM,3-Dec-21,VDD,Updated,8-Dec-21,TBL,Closed
ABC TEST TRIAL,241,Site 241,2411241,8-Oct-21,GXM,1,CDM,18-Oct-21,FAI,Updated,18-Oct-21,BFU,Closed
ABC TEST TRIAL,168,Site 168,1681168,8-Oct-21,QXW,1,CDM,18-Oct-21,TFY,Updated,18-Oct-21,UUC,Closed
ABC TEST TRIAL,381,Site 381,3811381,17-Nov-21,MKI,1,CDM,30-Nov-21,HLJ,Updated,1-Dec-21,OCP,Closed
ABC TEST TRIAL,344,Site 344,3441344,17-Nov-21,VJC,1,CDM,30-Nov-21,BBX,Updated,1-Dec-21,OND,Closed
ABC TEST TRIAL,496,Site 496,4961496,8-Oct-21,TPL,1,CDM,3-Dec-21,RJO,Updated,8-Dec-21,DTN,Closed
ABC TEST TRIAL,156,Site 156,1561156,21-Apr-22,VLP,1,CDM,31-May-22,HNC,Updated,31-May-22,QLE,Closed
ABC TEST TRIAL,298,Site 298,2981298,11-May-22,XTN,1,CDM,24-May-22,ZEV,Updated,25-May-22,UUU,Closed
ABC TEST TRIAL,322,Site 322,3221322,2-Nov-23,WLA,1,CDM,3-Nov-23,SMK,Updated,6-Nov-23,UWN,Closed
ABC TEST TRIAL,429,Site 429,4291429,10-Nov-21,CFX,1,CDM,30-Nov-21,YLN,Updated,8-Dec-21,XKX,Closed
ABC TEST TRIAL,334,Site 334,3341334,8-Oct-21,RGA,1,CDM,6-Dec-21,WCZ,Updated,8-Dec-21,EEE,Closed
ABC TEST TRIAL,107,Site 107,1071107,17-Nov-21,DAK,1,CDM,22-Dec-21,HJE,Updated,23-Dec-21,TDQ,Closed
ABC TEST TRIAL,195,Site 195,1951195,10-Nov-21,ZFU,1,CDM,6-Dec-21,PPJ,Updated,8-Dec-21,MNV,Closed
ABC TEST TRIAL,306,Site 306,3061306,28-Jul-23,IGL,1,CDM,31-Jul-23,OWJ,Updated,31-Jul-23,QOX,Closed
ABC TEST TRIAL,294,Site 294,2941294,19-Jan-22,TAO,1,CDM,28-Jan-22,JQU,Updated,4-Feb-22,KVA,Closed
ABC TEST TRIAL,107,Site 107,1071107,19-Jan-22,CMW,1,CDM,28-Jan-22,NOS,Updated,24-Feb-22,JEB,Closed
ABC TEST TRIAL,280,Site 280,2801280,23-Oct-23,BUN,1,CDM,31-Oct-23,QIA,Updated,31-Oct-23,PYG,Closed
ABC TEST TRIAL,323,Site 323,3231323,7-Aug-23,NEQ,1,CDM,8-Aug-23,MRX,Updated,8-Aug-23,HQL,Closed
ABC TEST TRIAL,334,Site 334,3341334,28-Feb-23,ARK,1,CDM,1-Mar-23,XFF,Updated,6-Mar-23,ILK,Closed
ABC TEST TRIAL,357,Site 357,3571357,23-Oct-23,QSZ,1,CDM,25-Oct-23,YAL,Updated,27-Oct-23,DHE,Closed
ABC TEST TRIAL,301,Site 301,3011301,25-Jul-24,SEG,1,CDM,26-Jul-24,RKY,Updated,30-Jul-24,RKR,Closed
ABC TEST TRIAL,262,Site 262,2621262,9-Oct-23,PNV,1,CDM,20-Oct-23,CMO,Updated,23-Oct-23,DVK,Closed
ABC TEST TRIAL,178,Site 178,1781178,18-Apr-22,OZJ,1,CDM,4-Jul-22,FYB,Updated,5-Jul-22,YSW,Closed
ABC TEST TRIAL,429,Site 429,4291429,25-May-22,WAZ,1,CDM,4-Jul-22,QVJ,Updated,4-Jul-22,SWZ,Closed
ABC TEST TRIAL,460,Site 460,4601460,15-May-24,PJH,1,CDM,18-May-24,JUK,Updated,20-May-24,OEH,Closed
ABC TEST TRIAL,295,Site 295,2951295,23-Sep-22,PDM,1,CDM,28-Oct-22,CXR,Updated,3-Nov-22,ELS,Closed
ABC TEST TRIAL,391,Site 391,3911391,13-Mar-23,OZE,1,CDM,20-Mar-23,COJ,Updated,21-Mar-23,DZR,Closed
ABC TEST TRIAL,124,Site 124,1241124,21-Feb-23,ZME,1,CDM,24-Feb-23,YGT,Updated,27-Feb-23,YWD,Closed
ABC TEST TRIAL,255,Site 255,2551255,22-May-23,CDK,1,CDM,26-May-23,KIT,Updated,26-May-23,IEG,Closed
ABC TEST TRIAL,298,Site 298,2981298,18-Oct-23,CBN,1,CDM,19-Oct-23,JAX,Updated,20-Oct-23,HEB,Closed
ABC TEST TRIAL,107,Site 107,1071107,21-Jul-23,WEB,1,CDM,28-Jul-23,UDY,Updated,28-Jul-23,KXB,Closed
ABC TEST TRIAL,347,Site 347,3471347,1-Sep-22,BJY,1,CDM,1-Sep-22,MLE,Updated,2-Sep-22,XSI,Closed
ABC TEST TRIAL,195,Site 195,1951195,1-Sep-22,MFY,1,CDM,1-Sep-22,ROA,Updated,2-Sep-22,CSJ,Closed
